timestamp,book_d_v1,book_d_v2,book_imbalance_v1,book_imbalance_v2,mid_price,mean_price
12:18.3,0.9514163199999996,36642514.77122001,0.19339452943541693,0.19365272050757074,38460000.0,38460500.0
12:18.4,7.171893290000001,278907746.97846,0.9216357471627832,0.9216621410889719,38884500.0,38883700.0
12:18.5,1.8076910800000001,70583912.70877999,0.539813713928018,0.5399541517322394,39030000.0,39030800.0
12:18.6,4.254246370000001,164509769.15119,0.37696869794315807,0.375666471698548,38802000.0,38897600.0
12:18.7,1.0992547000000004,42477297.33676,0.43549710320886614,0.4358032223678356,38606000.0,38606100.0
12:18.8,0.6235764599999989,23860334.131469965,0.033387497079688355,0.032959603357949493,38645000.0,38741650.0
12:18.9,5.25315602,202294208.37987,0.32755613920381,0.3249444899901018,38825000.0,38747666.666666664
12:19.0,-2.2721460099999997,-87160128.56443,-0.5365851704186181,-0.5363518017812186,38384000.0,38384500.0
12:19.1,-0.14960423000000023,-5515537.380299985,-0.039462811523478886,-0.037768274045344497,38543000.0,38545350.0
12:19.2,3.21870859,126069073.01749,0.9288072726993816,0.928878362919706,39144000.0,39144200.0
12:19.3,2.4206326299999996,94133179.36545,0.3625885893908467,0.3649383402384758,38796500.0,38792400.0
12:19.5,8.798331880000001,342418031.24507004,0.7752394859524662,0.7749239304355123,38956500.0,38957250.0
12:19.7,5.341540930000001,206518692.48281,0.38713585327782024,0.3860775575185622,38802000.0,38824725.0
12:19.8,-0.06639097000000227,-2577657.188529998,-0.00528780459966716,-0.00525920996594209,38829000.0,38921366.666666664
12:19.9,1.6996920300000005,64917389.25953007,0.10796838596895177,0.10656683958068662,38643000.0,38633666.666666664
12:20.0,1.7122477300000005,66535265.84200999,0.19205468302368675,0.193960734030449,38467000.0,38463850.0
12:20.1,-2.0002946100000005,-76622887.38835002,-0.3616347724867402,-0.35989063159323315,38549500.0,38546950.0
12:20.3,4.1173983199999995,161218922.85316002,0.8662699518678639,0.8663675821707242,39126000.0,39134750.0
12:20.4,0.9511562499999997,36632514.81965001,0.1933314446063764,0.19358964056802813,38460000.0,38460500.0
12:20.5,7.20832296,280324234.12608,0.9312922220777659,0.9313175365038648,38884500.0,38883700.0
12:20.6,2.0372942099999998,79546105.69991001,0.5643984397692278,0.5645278474395176,39030000.0,39030800.0
12:20.7,5.317514859999999,205576800.54074,0.3866338252803056,0.3855644184297736,38802000.0,38824725.0
12:20.8,0.19192208999999993,7413279.733219996,0.14291386993119332,0.1431400159787457,38568500.0,38565800.0
12:20.9,-0.11960824000000159,-5359606.035240054,-0.005157608490045487,-0.005939070903847851,38647500.0,38871150.0
12:21.0,3.975736450000001,154038398.04101,0.3138456474019147,0.3156478668925847,38500000.0,38515033.333333336
12:21.2,-1.9037094700000003,-72911893.13927002,-0.3502897263618242,-0.34853547624645775,38549500.0,38546950.0
12:21.3,4.21939832,165209876.85316002,0.9071985092990035,0.9072725118133779,39126000.0,39134750.0
12:21.4,0.9511562499999997,36632514.81965001,0.1933314446063764,0.19358964056802813,38460000.0,38460500.0
12:21.5,5.352617210000001,208170837.76542,0.6959062319669244,0.6960395617959068,38876500.0,38876900.0
12:21.6,1.9965440200000004,77955683.53364,0.5501752817320328,0.5503070698828745,39030000.0,39030800.0
12:21.7,0.8698942299999999,34148580.05691002,0.153390650704296,0.1539450581109765,39110500.0,39113250.0
12:21.8,1.2964528900000003,49932163.61194998,0.20289009436710329,0.20282734783292777,38526000.0,38535950.0
12:21.9,0.6741457099999977,26383425.005090028,0.05220265860001705,0.05233178613087652,38829000.0,38921533.333333336
12:22.0,6.853016459999998,263490375.52973998,0.33092623937141885,0.32902526809169386,38642500.0,38610950.0
12:22.1,-3.3876615,-129965863.89903001,-0.6332728503562369,-0.63308036691317,38385000.0,38385100.0
12:22.2,-1.6316937700000003,-62463269.53720999,-0.3193060241304498,-0.31751176395487823,38549500.0,38548300.0
12:22.3,2.7489219400000002,107670049.30736,0.9499133740100855,0.9499664262995987,39145000.0,39145200.0
12:22.4,1.4679424499999998,57440664.873849995,0.835155343362406,0.8351964469326066,39124500.0,39124300.0
12:22.5,0.9245402099999998,35608622.37688999,0.18894366209286687,0.18920249422951713,38460000.0,38460500.0
12:22.6,7.311848879999999,284675275.17507,0.6480303249150995,0.6480404094978574,38955000.0,38953450.0
12:22.8,4.177431830000001,161556685.90687,0.3190946059663196,0.3182434353571815,38802000.0,38825175.0
12:22.9,-2.7400375999999995,-107150837.33755003,-0.4682164525661256,-0.46982899744513806,38829000.0,38835400.0
12:23.0,4.0248038899999985,156047790.05934995,0.20876717679265339,0.20829080332070876,38642500.0,38792366.666666664
12:23.1,3.600272499999999,139157387.92082995,0.27132374081769395,0.2720229249350863,38500000.0,38515466.666666664
12:23.2,-2.69992027,-103725885.38916,-0.7555541551583159,-0.7554470646004537,38429500.0,38431100.0
12:23.3,1.6987436599999999,65682890.08562,0.7642643253452466,0.7642900715992542,38663500.0,38662500.0
12:23.4,4.65500966,182269797.39022002,0.9145942753275926,0.9146645647178161,39126000.0,39134750.0
12:23.5,0.9262801399999998,35675524.42532,0.18936657801021525,0.1896253782950753,38460000.0,38460500.0
12:23.6,5.881949410000001,228752448.46600002,0.7332798711776007,0.7334003813264637,38877000.0,38877100.0
12:23.7,1.8208885400000003,71100202.69092,0.47255693637134055,0.4726972225746498,39029500.0,39029800.0
12:23.8,4.08775617,158081375.24932003,0.36758988767774786,0.36631348809035685,38802000.0,38897600.0
12:23.9,-1.2052616700000003,-46501513.48525,-0.36929079319030644,-0.36908469645598213,38607500.0,38609100.0
12:24.0,1.155967109999997,43887095.01419997,0.045873573345197614,0.044785821199541644,38644500.0,38809580.0
12:24.1,3.39981066,131404714.53240997,0.2601466238643076,0.2608207986485631,38500000.0,38515433.333333336
12:24.3,-2.3784998599999994,-90959279.20706,-0.33641008817890944,-0.3341731038261821,38549000.0,38546500.0
12:24.4,4.00945744,156994832.56572002,0.856264609215627,0.8563957688185339,39125000.0,39132650.0
12:24.5,0.9262801399999998,35675524.42532,0.18936657801021525,0.1896253782950753,38460000.0,38460500.0
12:24.7,7.493860900000001,291771774.86673,0.6807589751365839,0.680792317759304,38951500.0,38952750.0
12:24.8,0.8940156199999998,35093223.27745001,0.15767702456222607,0.15823649145841856,39110500.0,39113250.0
12:24.9,2.23517888,86008518.38661999,0.2639706200002385,0.2636363681318709,38527500.0,38537700.0
12:25.0,-3.1089546099999996,-121587223.42678,-0.5725365095463403,-0.5747150040385852,38829000.0,38835450.0
12:25.1,4.2835474300000005,165815141.34251988,0.18176093700530455,0.18120865611212084,38642500.0,38747100.0
12:25.2,0.8715222699999998,34234016.53990999,0.08735403062181592,0.08919434323706074,38467500.0,38466850.0
12:25.3,-2.1110622300000013,-80675414.80146998,-0.28268650748752033,-0.2806320378050228,38549000.0,38547450.0
12:25.5,3.52893944,138151749.46104997,0.8468506454269329,0.8469651427210833,39124000.0,39129100.0
12:25.6,0.9387779199999999,36156062.52698,0.19247474366683845,0.1927333160698655,38460000.0,38460500.0
12:25.7,5.35213641,208150086.5908,0.715941177519403,0.716068940871211,38873000.0,38875400.0
12:25.8,2.11852713,82715152.15001002,0.5940681691518704,0.5941798239467625,39029500.0,39030100.0
12:25.9,3.133107569999998,121255792.28758004,0.22167901094175044,0.2213253452429554,38802000.0,38825475.0
12:26.0,-3.0675094,-119879364.33919999,-0.7298243606150304,-0.7296743519440487,39088000.0,39100500.0
12:26.1,3.6288168999999995,141077480.30643994,0.18711293061913514,0.18695044433029187,38641500.0,38734900.0
12:26.2,-0.8061478699999984,-30403708.634139955,-0.05384721341610861,-0.05273264325030737,38498000.0,38513200.0
12:26.4,-1.6287984800000008,-62132670.758920014,-0.20487050960447262,-0.2030278331198801,38549000.0,38547450.0
12:26.5,3.5299394399999997,138190872.46104997,0.8468873883397008,0.8470018394629725,39124000.0,39129100.0
12:26.6,0.9361787699999999,36056122.61033,0.19183961744288225,0.19209823861720338,38460000.0,38460500.0
12:26.7,5.48300173,213237190.35584,0.7385781574279343,0.738695699126716,38880000.0,38878200.0
12:26.8,2.11332713,82512185.75001001,0.5934753906595754,0.5935872749405394,39029500.0,39030100.0
12:26.9,0.8979286900000001,35247273.90096001,0.15847654242391535,0.15904158411169944,39110500.0,39113250.0
12:27.0,2.23517888,86008518.38661999,0.2639706200002385,0.2636363681318709,38527500.0,38537700.0
12:27.1,-2.5737131399999997,-100656025.98016,-0.44371140689881594,-0.44529544699041484,38828000.0,38833250.0
12:27.2,2.2667854600000013,89570062.90301013,0.07055064005449498,0.07193951719757663,38641500.0,38654216.666666664
12:27.4,2.6985382699999994,104129820.67255001,0.7522080016151684,0.7523760254715316,38550500.0,38549300.0
12:27.5,2.7644427300000003,108203200.58365998,0.8023409377509935,0.8024513271779087,39123500.0,39126300.0
12:27.7,0.8062081299999999,31058621.53169,0.16092048888844152,0.1611812440485997,38460000.0,38460500.0
12:27.8,8.07761862,314443591.62000006,0.6816435724658805,0.6815505330419412,38955500.0,38954200.0
12:27.9,1.30025215,50947279.34169001,0.4695915666701926,0.46981390773864107,39158500.0,39157300.0
12:28.0,1.8328554199999996,70306959.24589002,0.16127713713537659,0.1599985933765478,38760000.0,38714966.666666664
12:28.1,-3.2243201999999993,-126082859.03425002,-0.49985985005451855,-0.5014319011559916,38827500.0,38832850.0
